                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6092,                 3.3803,                 1.8863,                0.00311,                      1,                0.08901,                0.02429,                 1.3662,                 3.8919,                 1.7831,                      0,                      0,                      0
                      2,                 1.6721,                 3.3505,                 1.7292,                0.00311,                      1,                 0.0921,                0.03274,                 1.3165,                 3.8165,                  1.755,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 1.6719,                 3.3552,                 1.7441,                0.00311,                      1,                0.32595,                0.07083,                  1.186,                 3.6646,                 1.6708,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                 1.5099,                 3.1721,                 1.5755,                0.00311,                      1,                 0.4049,                0.16372,                 1.0973,                 3.6142,                 1.5954,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                 1.5767,                 3.2421,                 1.6495,                0.00311,                      1,                 0.4815,                0.23395,                 1.0126,                 3.5745,                 1.5168,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                 1.5756,                 3.2311,                  1.708,                0.00311,                      1,                0.53938,                0.25539,                0.92796,                 3.5039,                 1.4594,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                  1.367,                 2.9796,                 1.4896,                0.00311,                      1,                0.66375,                0.42627,                 0.8101,                  3.501,                 1.4053,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                 1.1883,                 2.8125,                  1.316,                0.00311,                      1,                0.66375,                0.45665,                0.73829,                 3.4517,                 1.3762,              0.0001086,              0.0001086,              0.0001086
                      9,                 1.0629,                  2.711,                 1.3058,                0.00311,                      1,                  0.705,                0.46871,                0.74707,                 3.4349,                 1.2912,              0.0001228,              0.0001228,              0.0001228
                     10,                 1.1592,                  2.651,                 1.3825,                0.00312,                      1,                  0.705,                0.46464,                0.77408,                 3.4308,                 1.2874,             0.00013666,             0.00013666,             0.00013666
                     11,                0.96048,                 2.2601,                 1.2151,                0.00313,                      1,                0.62208,                0.40281,                 0.8128,                 3.3783,                  1.266,              0.0001502,              0.0001502,              0.0001502
                     12,                 1.1962,                 2.3559,                 1.3737,                0.00314,                      1,                0.62208,                0.39436,                0.86755,                 3.2571,                 1.2917,              0.0001634,              0.0001634,              0.0001634
                     13,                 1.2057,                 2.1533,                 1.3105,                0.00313,                      1,                0.62187,                0.39967,                 0.9369,                 3.1989,                  1.336,             0.00017628,             0.00017628,             0.00017628
                     14,                 1.0958,                 2.1233,                 1.2988,                0.00314,                      1,                0.62187,                0.44807,                  1.151,                 3.0488,                 1.4221,             0.00018882,             0.00018882,             0.00018882
                     15,                0.98204,                 2.0434,                 1.2722,                0.00314,                      1,                0.62187,                0.43563,                 1.2814,                 2.9414,                 1.5298,             0.00020103,             0.00020103,             0.00020103
                     16,                 1.2599,                 2.1183,                 1.4095,                0.00537,                      1,                0.66333,                0.44257,                 1.2624,                 2.8876,                 1.5146,             0.00021292,             0.00021292,             0.00021292
                     17,                  1.056,                 1.8244,                 1.2086,                 0.4042,                      1,                0.66333,                0.43718,                 1.2403,                 2.8326,                 1.5029,             0.00022447,             0.00022447,             0.00022447
                     18,                 0.8661,                 1.7879,                 1.1264,                 0.4042,                      1,                0.66333,                0.43718,                 1.2403,                 2.8326,                 1.5029,              0.0002357,              0.0002357,              0.0002357
                     19,                  1.083,                 1.9178,                  1.285,                0.40888,                      1,                  0.995,                 0.7079,                 1.0973,                 2.7796,                 1.4339,             0.00024659,             0.00024659,             0.00024659
                     20,                0.96456,                 1.7658,                  1.146,                0.40888,                      1,                  0.995,                 0.7079,                 1.0973,                 2.7796,                 1.4339,             0.00025715,             0.00025715,             0.00025715
                     21,                 1.1013,                 1.5882,                 1.1767,                0.00475,                      1,                  0.995,                0.75186,                0.97942,                 2.7783,                 1.3365,             0.00026739,             0.00026739,             0.00026739
                     22,                0.88368,                 1.3422,                 1.0423,                0.00475,                      1,                  0.995,                0.75186,                0.97942,                 2.7783,                 1.3365,             0.00027729,             0.00027729,             0.00027729
                     23,                0.97104,                 1.4192,                 1.1562,                0.00504,                      1,                  0.995,                0.82927,                0.77831,                 2.7039,                 1.1702,             0.00028686,             0.00028686,             0.00028686
                     24,                0.91129,                 1.7091,                  1.144,                0.00504,                      1,                  0.995,                0.82927,                0.77831,                 2.7039,                 1.1702,             0.00029611,             0.00029611,             0.00029611
                     25,                0.97791,                 1.5504,                 1.1374,                0.00312,                      1,                  0.995,                0.87902,                0.68188,                 2.7035,                 1.1149,             0.00030502,             0.00030502,             0.00030502
                     26,                 0.9303,                 1.3982,                 1.0841,                0.00312,                      1,                  0.995,                0.87902,                0.68188,                 2.7035,                 1.1149,              0.0003136,              0.0003136,              0.0003136
                     27,                0.90474,                 1.3577,                 1.0715,                0.00313,                      1,                  0.995,                0.87902,                0.67885,                 2.7272,                 1.1181,             0.00032186,             0.00032186,             0.00032186
                     28,                0.81316,                 1.3488,                 1.1051,                0.00313,                      1,                  0.995,                0.87902,                0.67885,                 2.7272,                 1.1181,             0.00032978,             0.00032978,             0.00032978
                     29,                 0.9887,                 1.5881,                 1.2155,                0.00314,                      1,                  0.995,                0.81277,                 0.8328,                 2.7194,                  1.239,             0.00033737,             0.00033737,             0.00033737
                     30,                0.90947,                 1.2789,                 1.1056,                0.00314,                      1,                  0.995,                0.81277,                 0.8328,                 2.7194,                  1.239,             0.00034464,             0.00034464,             0.00034464
                     31,                0.96784,                 1.4507,                 1.1531,                 0.0053,                      1,                  0.995,                0.76302,                0.97017,                 2.6679,                 1.4175,             0.00035157,             0.00035157,             0.00035157
                     32,                  1.015,                 1.5711,                 1.1652,                 0.0053,                      1,                  0.995,                0.76302,                0.97017,                 2.6679,                 1.4175,             0.00035817,             0.00035817,             0.00035817
                     33,                0.88396,                 1.4077,                  1.099,                0.48152,                      1,                  0.995,                0.66894,                 1.2014,                 2.6793,                  1.679,             0.00036445,             0.00036445,             0.00036445
                     34,                 0.7675,                 1.3601,                 1.0462,                0.48152,                      1,                  0.995,                0.66894,                 1.2014,                 2.6793,                  1.679,             0.00037039,             0.00037039,             0.00037039
                     35,                 0.9437,                 1.2875,                 1.1506,                0.93212,                    0.5,                  0.995,                0.61919,                  1.421,                 2.6714,                 1.9993,               0.000376,               0.000376,               0.000376
                     36,                0.96389,                 1.2504,                 1.1338,                0.93212,                    0.5,                  0.995,                0.61919,                  1.421,                 2.6714,                 1.9993,             0.00038128,             0.00038128,             0.00038128
                     37,                0.83333,                 1.6022,                 1.1314,                0.94744,                    0.5,                  0.995,                0.62479,                 1.3871,                 2.6255,                 1.9964,             0.00038624,             0.00038624,             0.00038624
                     38,                 1.1541,                 1.4991,                 1.2582,                0.94744,                    0.5,                  0.995,                0.62479,                 1.3871,                 2.6255,                 1.9964,             0.00039086,             0.00039086,             0.00039086
                     39,                 1.0637,                 1.2967,                 1.2015,                0.91979,                    0.5,                  0.995,                0.65235,                 1.2224,                 2.4713,                 1.8314,             0.00039515,             0.00039515,             0.00039515
                     40,                 0.8937,                 1.2401,                 1.0729,                0.91979,                    0.5,                  0.995,                0.65235,                 1.2224,                 2.4713,                 1.8314,             0.00039911,             0.00039911,             0.00039911
                     41,                 1.0266,                   1.29,                 1.0756,                0.90051,                    0.5,                  0.995,                0.72977,                 1.0156,                 2.3522,                 1.5198,             0.00040275,             0.00040275,             0.00040275
                     42,                0.96749,                 1.6011,                 1.2388,                0.90051,                    0.5,                  0.995,                0.72977,                 1.0156,                 2.3522,                 1.5198,             0.00040605,             0.00040605,             0.00040605
                     43,                 1.0034,                 1.3402,                 1.1566,                0.90041,                    0.5,                  0.995,                0.77952,                 0.8791,                 2.3672,                 1.2633,             0.00040902,             0.00040902,             0.00040902
                     44,                0.98018,                 1.4426,                 1.1852,                0.90041,                    0.5,                  0.995,                0.77952,                 0.8791,                 2.3672,                 1.2633,             0.00041166,             0.00041166,             0.00041166
                     45,                0.99292,                 1.2327,                 1.2017,                0.92211,                    0.5,                  0.995,                0.80439,                0.79751,                 2.4948,                 1.1667,             0.00041398,             0.00041398,             0.00041398
                     46,                 1.1252,                 1.6003,                 1.3374,                0.92211,                    0.5,                  0.995,                0.80439,                0.79751,                 2.4948,                 1.1667,             0.00041596,             0.00041596,             0.00041596
                     47,                0.79463,                 1.2349,                0.98801,                0.96286,                    0.5,                  0.995,                0.75464,                0.83625,                 2.6492,                 1.1663,             0.00041761,             0.00041761,             0.00041761
                     48,                0.78372,                  1.221,                0.99951,                0.96286,                    0.5,                  0.995,                0.75464,                0.83625,                 2.6492,                 1.1663,             0.00041893,             0.00041893,             0.00041893
                     49,                0.92093,                 1.1161,                 1.0359,                0.89506,                      1,                  0.995,                0.70489,                0.94338,                 2.7542,                 1.2125,             0.00041992,             0.00041992,             0.00041992
                     50,                0.71002,                 1.1813,                 1.0405,                0.89506,                      1,                  0.995,                0.70489,                0.94338,                 2.7542,                 1.2125,             0.00042059,             0.00042059,             0.00042059
                     51,                0.84616,                 1.2404,                 1.1117,                0.69531,                      1,                  0.995,                0.61919,                 1.0037,                 2.7582,                  1.294,             0.00042092,             0.00042092,             0.00042092
                     52,                0.83396,                 1.1392,                    1.1,                0.69531,                      1,                  0.995,                0.61919,                 1.0037,                 2.7582,                  1.294,             0.00042092,             0.00042092,             0.00042092
                     53,                0.79267,                 1.3353,                 1.0401,                0.69531,                      1,                  0.995,                0.61919,                 1.0037,                 2.7582,                  1.294,             0.00042059,             0.00042059,             0.00042059
                     54,                 0.8046,                 1.1158,                 1.0598,                0.86729,                0.94705,                  0.995,                0.61919,                0.97888,                 2.5608,                 1.3189,             0.00041993,             0.00041993,             0.00041993
                     55,                0.78674,                 1.0895,                 1.0355,                0.86729,                0.94705,                  0.995,                0.61919,                0.97888,                 2.5608,                 1.3189,             0.00041894,             0.00041894,             0.00041894
                     56,                0.80133,                 1.1247,                 1.0745,                0.86729,                0.94705,                  0.995,                0.61919,                0.97888,                 2.5608,                 1.3189,             0.00041763,             0.00041763,             0.00041763
                     57,                0.82416,                 1.2174,                 1.0374,                0.89817,                0.98617,                  0.995,                0.65235,                0.98115,                 2.2957,                 1.3414,             0.00041598,             0.00041598,             0.00041598
                     58,                0.92986,                 1.1897,                 1.0648,                0.89817,                0.98617,                  0.995,                0.65235,                0.98115,                 2.2957,                 1.3414,               0.000414,               0.000414,               0.000414
                     59,                 0.9988,                 1.1435,                   1.06,                0.89817,                0.98617,                  0.995,                0.65235,                0.98115,                 2.2957,                 1.3414,             0.00041169,             0.00041169,             0.00041169
                     60,                0.77389,                 1.0829,                 0.9477,                0.88823,                      1,                  0.995,                0.65236,                 0.9464,                 1.9357,                 1.3087,             0.00040905,             0.00040905,             0.00040905
                     61,                0.82376,                 1.0118,                 1.0185,                0.88823,                      1,                  0.995,                0.65236,                 0.9464,                 1.9357,                 1.3087,             0.00040608,             0.00040608,             0.00040608
                     62,                0.75152,                 1.0959,                 1.0162,                0.88823,                      1,                  0.995,                0.65236,                 0.9464,                 1.9357,                 1.3087,             0.00040278,             0.00040278,             0.00040278
                     63,                0.78291,                 1.1447,                 1.0684,                0.85607,                      1,                  0.995,                0.65236,                0.91507,                 1.6766,                 1.2665,             0.00039915,             0.00039915,             0.00039915
                     64,                0.81643,                 1.0676,                 1.0579,                0.85607,                      1,                  0.995,                0.65236,                0.91507,                 1.6766,                 1.2665,             0.00039519,             0.00039519,             0.00039519
                     65,                0.86428,                 1.1005,                 1.0817,                0.85607,                      1,                  0.995,                0.65236,                0.91507,                 1.6766,                 1.2665,              0.0003909,              0.0003909,              0.0003909
                     66,                0.77101,                 1.1458,                 1.0682,                0.85703,                      1,                  0.995,                0.65515,                0.87875,                 1.5788,                 1.2064,             0.00038629,             0.00038629,             0.00038629
                     67,                0.85718,                 1.1259,                 1.0328,                0.85703,                      1,                  0.995,                0.65515,                0.87875,                 1.5788,                 1.2064,             0.00038134,             0.00038134,             0.00038134
                     68,                0.77699,                 1.1077,                 1.1208,                0.85703,                      1,                  0.995,                0.65515,                0.87875,                 1.5788,                 1.2064,             0.00037606,             0.00037606,             0.00037606
                     69,                0.70592,                  1.013,                0.98308,                0.88112,                      1,                  0.995,                 0.6965,                0.90096,                 1.5222,                 1.1933,             0.00037045,             0.00037045,             0.00037045
                     70,                0.77038,                 1.0428,                  1.056,                0.88112,                      1,                  0.995,                 0.6965,                0.90096,                 1.5222,                 1.1933,             0.00036451,             0.00036451,             0.00036451
                     71,                0.79075,                 1.0377,                0.96965,                0.88112,                      1,                  0.995,                 0.6965,                0.90096,                 1.5222,                 1.1933,             0.00035824,             0.00035824,             0.00035824
                     72,                0.73544,                 1.1653,                 0.9984,                 0.8922,                      1,                  0.995,                0.74625,                0.95534,                 1.5314,                 1.2592,             0.00035164,             0.00035164,             0.00035164
                     73,                0.87635,                   1.34,                 1.0998,                 0.8922,                      1,                  0.995,                0.74625,                0.95534,                 1.5314,                 1.2592,             0.00034471,             0.00034471,             0.00034471
                     74,                0.77257,                 1.1111,                 1.0074,                 0.8922,                      1,                  0.995,                0.74625,                0.95534,                 1.5314,                 1.2592,             0.00033745,             0.00033745,             0.00033745
                     75,                0.64132,                 1.0291,                0.92597,                0.89781,                      1,                  0.995,                0.74656,                 1.0179,                 1.6266,                 1.3634,             0.00032986,             0.00032986,             0.00032986
                     76,                0.71855,                 0.8964,                0.96151,                0.89781,                      1,                  0.995,                0.74656,                 1.0179,                 1.6266,                 1.3634,             0.00032194,             0.00032194,             0.00032194
                     77,                0.81215,                 1.0737,                 1.0505,                0.89781,                      1,                  0.995,                0.74656,                 1.0179,                 1.6266,                 1.3634,             0.00031369,             0.00031369,             0.00031369
                     78,                0.82421,                 1.0218,                 1.0783,                 0.9188,                      1,                  0.995,                0.73006,                 1.0687,                  1.705,                 1.4293,             0.00030511,             0.00030511,             0.00030511
