                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6092,                 3.3803,                 1.8863,                0.00311,                      1,                0.08901,                0.02429,                 1.3662,                 3.8919,                 1.7831,                      0,                      0,                      0
                      2,                 1.6721,                 3.3505,                 1.7292,                0.00311,                      1,                0.09062,                0.03102,                 1.3331,                 3.8458,                 1.7636,             1.1169e-05,             1.1169e-05,             1.1169e-05
                      3,                  1.694,                 3.3518,                 1.7569,                0.00311,                      1,                0.09633,                0.03536,                 1.2808,                 3.7832,                 1.7375,             1.1336e-05,             1.1336e-05,             1.1336e-05
