                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97422,                  1.253,                 1.1464,                 0.9467,                    0.5,                  0.995,                0.61379,                 1.4197,                 2.8284,                  2.045,             0.00050319,             0.00050319,             0.00050319
                     36,                0.89742,                 1.2712,                 1.1101,                 0.9467,                    0.5,                  0.995,                0.61379,                 1.4197,                 2.8284,                  2.045,             0.00051606,             0.00051606,             0.00051606
                     37,                0.83906,                 1.6061,                 1.1261,                      1,                0.49482,                0.66333,                0.43166,                 1.3874,                 2.7297,                 2.0627,             0.00052883,             0.00052883,             0.00052883
                     38,                0.98164,                 1.4803,                 1.1283,                      1,                0.49482,                0.66333,                0.43166,                 1.3874,                 2.7297,                 2.0627,             0.00054148,             0.00054148,             0.00054148
                     39,                0.92247,                 1.4037,                 1.1155,                0.98515,                    0.5,                  0.995,                0.58922,                 1.4153,                 2.5306,                 2.0652,             0.00055402,             0.00055402,             0.00055402
                     40,                0.88019,                 1.4412,                 1.0558,                0.98515,                    0.5,                  0.995,                0.58922,                 1.4153,                 2.5306,                 2.0652,             0.00056646,             0.00056646,             0.00056646
                     41,                  1.058,                 1.2655,                 1.1326,                0.99935,                    0.5,                  0.995,                0.63897,                  1.445,                 2.7939,                 1.9491,             0.00057878,             0.00057878,             0.00057878
                     42,                0.98466,                 2.1243,                  1.262,                0.99935,                    0.5,                  0.995,                0.63897,                  1.445,                 2.7939,                 1.9491,               0.000591,               0.000591,               0.000591
                     43,                0.84394,                 1.4986,                 1.1239,                0.95907,                    0.5,                  0.995,                0.61741,                 1.3926,                 2.6446,                 1.8524,              0.0006031,              0.0006031,              0.0006031
                     44,                 1.0087,                 1.6696,                 1.2043,                0.95907,                    0.5,                  0.995,                0.61741,                 1.3926,                 2.6446,                 1.8524,             0.00061509,             0.00061509,             0.00061509
                     45,                 1.0272,                  1.382,                 1.1808,                0.95752,                0.97701,                  0.995,                0.56123,                 1.4421,                 2.8385,                  1.721,             0.00062698,             0.00062698,             0.00062698
                     46,                 1.3124,                 1.6643,                 1.4615,                0.95752,                0.97701,                  0.995,                0.56123,                 1.4421,                 2.8385,                  1.721,             0.00063875,             0.00063875,             0.00063875
                     47,                0.86701,                 1.3543,                 1.0185,                0.86037,                0.83333,                0.95375,                0.62949,                 1.2409,                 2.6516,                 1.5399,             0.00065042,             0.00065042,             0.00065042
                     48,                0.81914,                 1.1514,                  1.017,                0.86037,                0.83333,                0.95375,                0.62949,                 1.2409,                 2.6516,                 1.5399,             0.00066197,             0.00066197,             0.00066197
                     49,                 1.0313,                 1.1732,                 1.0943,                  0.932,                0.83333,                  0.929,                0.62905,                 1.1481,                 2.3417,                 1.4881,             0.00067341,             0.00067341,             0.00067341
                     50,                0.90949,                 1.3757,                 1.1601,                  0.932,                0.83333,                  0.929,                0.62905,                 1.1481,                 2.3417,                 1.4881,             0.00068475,             0.00068475,             0.00068475
                     51,                0.94588,                 1.2925,                 1.1402,                0.87594,                0.83333,                0.95375,                0.65984,                 1.2188,                 1.9702,                 1.6827,             0.00069597,             0.00069597,             0.00069597
                     52,                 1.1337,                  1.376,                 1.2569,                0.87594,                0.83333,                0.95375,                0.65984,                 1.2188,                 1.9702,                 1.6827,             0.00070709,             0.00070709,             0.00070709
                     53,                 0.8937,                 1.4608,                 1.0847,                0.87594,                0.83333,                0.95375,                0.65984,                 1.2188,                 1.9702,                 1.6827,             0.00071809,             0.00071809,             0.00071809
                     54,                0.89912,                 1.2042,                 1.1148,                0.96179,                      1,                  0.995,                0.76304,                 1.0839,                 1.7589,                  1.637,             0.00072898,             0.00072898,             0.00072898
                     55,                0.88144,                  1.102,                 1.1107,                0.96179,                      1,                  0.995,                0.76304,                 1.0839,                 1.7589,                  1.637,             0.00073977,             0.00073977,             0.00073977
                     56,                0.95189,                 1.3102,                 1.1884,                0.96179,                      1,                  0.995,                0.76304,                 1.0839,                 1.7589,                  1.637,             0.00075044,             0.00075044,             0.00075044
                     57,                0.93379,                 1.4009,                  1.141,                0.81915,                      1,                  0.995,                 0.7133,                 1.0728,                 2.0416,                 1.5484,             0.00076101,             0.00076101,             0.00076101
                     58,                0.94447,                 1.3111,                 1.0782,                0.81915,                      1,                  0.995,                 0.7133,                 1.0728,                 2.0416,                 1.5484,             0.00077146,             0.00077146,             0.00077146
                     59,                 1.0928,                 1.1519,                 1.0763,                0.81915,                      1,                  0.995,                 0.7133,                 1.0728,                 2.0416,                 1.5484,              0.0007818,              0.0007818,              0.0007818
                     60,                0.84945,                 1.1174,                0.97666,                0.76842,                      1,                  0.995,                0.72977,                0.95971,                 2.3813,                 1.3157,             0.00079204,             0.00079204,             0.00079204
                     61,                0.93487,                 1.1797,                 1.0917,                0.76842,                      1,                  0.995,                0.72977,                0.95971,                 2.3813,                 1.3157,             0.00080216,             0.00080216,             0.00080216
                     62,                0.75913,                 1.1157,                   1.01,                0.76842,                      1,                  0.995,                0.72977,                0.95971,                 2.3813,                 1.3157,             0.00081217,             0.00081217,             0.00081217
                     63,                0.91936,                 1.2652,                 1.1317,                0.78299,                      1,                  0.995,                0.73005,                 0.9376,                 2.2209,                 1.2713,             0.00082208,             0.00082208,             0.00082208
                     64,                0.89137,                 1.1316,                 1.0803,                0.78299,                      1,                  0.995,                0.73005,                 0.9376,                 2.2209,                 1.2713,             0.00083187,             0.00083187,             0.00083187
                     65,                0.89138,                 1.2442,                 1.0828,                0.78299,                      1,                  0.995,                0.73005,                 0.9376,                 2.2209,                 1.2713,             0.00084155,             0.00084155,             0.00084155
                     66,                0.82938,                 1.3146,                 1.1132,                0.67191,                      1,                  0.995,                0.62477,                 1.0115,                 1.8632,                 1.3507,             0.00085113,             0.00085113,             0.00085113
                     67,                 0.9184,                 1.1775,                 1.0601,                0.67191,                      1,                  0.995,                0.62477,                 1.0115,                 1.8632,                 1.3507,             0.00086059,             0.00086059,             0.00086059
                     68,                0.78555,                 1.1975,                 1.1042,                0.67191,                      1,                  0.995,                0.62477,                 1.0115,                 1.8632,                 1.3507,             0.00086995,             0.00086995,             0.00086995
                     69,                0.82225,                 1.1562,                 1.0387,                0.76671,                      1,                  0.995,                 0.6396,                 1.2437,                 1.7684,                 1.7387,             0.00087919,             0.00087919,             0.00087919
                     70,                 0.8567,                 1.1869,                 1.0978,                0.76671,                      1,                  0.995,                 0.6396,                 1.2437,                 1.7684,                 1.7387,             0.00088832,             0.00088832,             0.00088832
                     71,                0.92094,                 1.1924,                 1.0731,                0.76671,                      1,                  0.995,                 0.6396,                 1.2437,                 1.7684,                 1.7387,             0.00089735,             0.00089735,             0.00089735
                     72,                0.89496,                 1.3263,                 1.1189,                0.80453,                      1,                  0.995,                0.52103,                 1.5209,                 1.8751,                 2.0345,             0.00090626,             0.00090626,             0.00090626
                     73,                  1.018,                 1.3735,                 1.1324,                0.80453,                      1,                  0.995,                0.52103,                 1.5209,                 1.8751,                 2.0345,             0.00091506,             0.00091506,             0.00091506
                     74,                0.97132,                 1.2969,                 1.1226,                0.80453,                      1,                  0.995,                0.52103,                 1.5209,                 1.8751,                 2.0345,             0.00092376,             0.00092376,             0.00092376
